District,Year,Crop,Season,Area_ha
TIRUCHIRAPPALLI,2017,Bajra,Whole Year,35
TIRUCHIRAPPALLI,2017,Maize,Whole Year,375
TIRUCHIRAPPALLI,2017,Groundnut,Whole Year,1453
TIRUCHIRAPPALLI,2017,Sesamum,Whole Year,1198
TIRUCHIRAPPALLI,2017,Sunflower,Whole Year,80
TIRUCHIRAPPALLI,2017,Other Oilseeds,Whole Year,4420
TIRUCHIRAPPALLI,2017,Cotton,Whole Year,385
TIRUCHIRAPPALLI,2017,Sugarcane,Whole Year,1749
TIRUCHIRAPPALLI,2017,Arhar/Tur,Whole Year,20
TIRUCHIRAPPALLI,2017,Other Non Food Crops,Whole Year,2105
TIRUCHIRAPPALLI,2017,Fodder Crops,Whole Year,188
ARIYALUR,2017,Rice,Autumn,2556
ARIYALUR,2017,Rice,Summer,479
ARIYALUR,2017,Rice,Winter,18349
ARIYALUR,2017,Other Pulses,Kharif,230
ARIYALUR,2017,Other Pulses,Rabi,1310
ARIYALUR,2017,Jowar,Kharif,19
ARIYALUR,2017,Bajra,Whole Year,138
ARIYALUR,2017,Maize,Whole Year,2902
ARIYALUR,2017,Groundnut,Whole Year,7692
ARIYALUR,2017,Sesamum,Whole Year,320
ARIYALUR,2017,Sunflower,Whole Year,64
ARIYALUR,2017,Other Oilseeds,Whole Year,304
ARIYALUR,2017,Cotton,Whole Year,191
ARIYALUR,2017,Sugarcane,Whole Year,5108
ARIYALUR,2017,Arhar/Tur,Whole Year,30
ARIYALUR,2017,Other Non Food Crops,Whole Year,375
ARIYALUR,2017,Fodder Crops,Whole Year,34
PERAMBALUR,2017,Rice,Autumn,327
PERAMBALUR,2017,Rice,Summer,1499
PERAMBALUR,2017,Rice,Winter,7407
PERAMBALUR,2017,Other Pulses,Kharif,105
PERAMBALUR,2017,Other Pulses,Rabi,147
PERAMBALUR,2017,Jowar,Kharif,6
PERAMBALUR,2017,Jowar,Rabi,32
PERAMBALUR,2017,Bajra,Whole Year,43
PERAMBALUR,2017,Maize,Whole Year,2573
PERAMBALUR,2017,Groundnut,Whole Year,1642
PERAMBALUR,2017,Sesamum,Whole Year,345
PERAMBALUR,2017,Sunflower,Whole Year,29
PERAMBALUR,2017,Other Oilseeds,Whole Year,614
PERAMBALUR,2017,Cotton,Whole Year,298
PERAMBALUR,2017,Sugarcane,Whole Year,4452
PERAMBALUR,2017,Arhar/Tur,Whole Year,18
PERAMBALUR,2017,Other Non Food Crops,Whole Year,460
PERAMBALUR,2017,Fodder Crops,Whole Year,624
PUDUKKOTTAI,2017,Rice,Autumn,2652
PUDUKKOTTAI,2017,Rice,Summer,1619
PUDUKKOTTAI,2017,Rice,Winter,73189
PUDUKKOTTAI,2017,Other Pulses,Kharif,905
PUDUKKOTTAI,2017,Other Pulses,Rabi,2760
PUDUKKOTTAI,2017,Maize,Whole Year,3412
PUDUKKOTTAI,2017,Groundnut,Whole Year,8918
PUDUKKOTTAI,2017,Sesamum,Whole Year,534
PUDUKKOTTAI,2017,Other Oilseeds,Whole Year,8127
PUDUKKOTTAI,2017,Cotton,Whole Year,19
PUDUKKOTTAI,2017,Sugarcane,Whole Year,3388
PUDUKKOTTAI,2017,Arhar/Tur,Whole Year,343
PUDUKKOTTAI,2017,Other Non Food Crops,Whole Year,1332
PUDUKKOTTAI,2017,Fodder Crops,Whole Year,21
KARUR,2017,Rice,Summer,182
KARUR,2017,Rice,Winter,11011
KARUR,2017,Jowar,Kharif,1513
KARUR,2017,Jowar,Rabi,1349
KARUR,2017,Other Pulses,Kharif,113
KARUR,2017,Other Pulses,Rabi,850
KARUR,2017,Bajra,Whole Year,84
KARUR,2017,Maize,Whole Year,1747
KARUR,2017,Groundnut,Whole Year,2357
KARUR,2017,Sesamum,Whole Year,146
KARUR,2017,Sunflower,Whole Year,344
KARUR,2017,Other Oilseeds,Whole Year,6801
KARUR,2017,Cotton,Whole Year,221
KARUR,2017,Sugarcane,Whole Year,915
KARUR,2017,Arhar/Tur,Whole Year,161
KARUR,2017,Other Non Food Crops,Whole Year,2425
KARUR,2017,Fodder Crops,Whole Year,830
CUDDALORE,2017,Rice,Autumn,31883
CUDDALORE,2017,Rice,Summer,7412
CUDDALORE,2017,Rice,Winter,91927
CUDDALORE,2017,Other Pulses,Kharif,13
CUDDALORE,2017,Other Pulses,Rabi,2772
CUDDALORE,2017,Bajra,Whole Year,1964
CUDDALORE,2017,Maize,Whole Year,749
CUDDALORE,2017,Groundnut,Whole Year,9187
CUDDALORE,2017,Sesamum,Whole Year,1015
CUDDALORE,2017,Other Oilseeds,Whole Year,1522
CUDDALORE,2017,Cotton,Whole Year,149
CUDDALORE,2017,Sugarcane,Whole Year,18747
CUDDALORE,2017,Arhar/Tur,Whole Year,5
CUDDALORE,2017,Other Non Food Crops,Whole Year,5689
CUDDALORE,2017,Fodder Crops,Whole Year,30
